,Worldwide Gross ($)
0,2744336793.0
1,1066969703.0
2,1025467110.0
3,623933331.0
4,698491347.0
5,826137188.0
6,976536918.0
7,543113985.0
8,752600867.0
9,494878759.0
10,359126022.0
11,493214993.0
12,271430189.0
13,592461732.0
14,321885765.0
15,319713881.0
16,294804195.0
17,170458922.0
18,293503354.0
19,400062763.0
20,171685792.0
21,216485654.0
22,524028679.0
23,321669741.0
24,274470394.0
25,211780824.0
26,443140005.0
27,152263880.0
28,290745055.0
29,157107755.0
30,224920315.0
31,154026136.0
32,336365676.0
33,199006387.0
34,226497209.0
35,177512032.0
36,310650585.0
37,204594016.0
38,415686217.0
39,114984666.0
40,167805466.0
41,177238796.0
42,261930436.0
43,86855739.0
44,219103655.0
45,252276927.0
46,136333522.0
47,76196538.0
48,215283742.0
49,115694863.0
50,89137047.0
51,139789765.0
52,91720255.0
53,300228084.0
54,60673972.0
55,112462508.0
56,309208309.0
57,60321861.0
58,75026216.0
59,69055695.0
60,203509374.0
61,140073390.0
62,79293444.0
63,105734416.0
64,134748021.0
65,127233108.0
66,64735752.0
67,166842739.0
68,278780441.0
69,96188903.0
70,98159963.0
71,136150434.0
72,55611001.0
73,93621340.0
74,112483764.0
75,81126522.0
76,49050886.0
77,159291809.0
78,69432527.0
79,329398046.0
80,67918658.0
81,54806823.0
82,129190869.0
83,47405566.0
84,37981984.0
85,77477008.0
86,89519773.0
87,80547866.0
88,67876281.0
89,94882549.0
90,83761844.0
91,62695489.0
92,106956330.0
93,43053376.0
94,49779728.0
95,47664559.0
96,48190704.0
97,102820008.0
98,60040976.0
99,51416464.0
100,93251121.0
101,267045765.0
102,49830607.0
103,36440201.0
104,45491656.0
105,27293743.0
106,32686500.0
107,32054369.0
108,50507267.0
109,83188165.0
110,24719879.0
111,45236543.0
112,52830951.0
113,29397654.0
114,35626958.0
115,48668907.0
116,21584424.0
117,66984887.0
118,237382724.0
119,67448651.0
120,34705850.0
121,21409028.0
122,74249729.0
123,83090556.0
124,56032889.0
125,42059111.0
126,423999102.0
127,36288132.0
128,27127620.0
129,60331447.0
130,19651093.0
131,21500813.0
132,18409891.0
133,28190603.0
134,27093592.0
135,709827462.0
136,15134293.0
137,122233971.0
138,45823494.0
139,10903312.0
140,60738797.0
141,104414200.0
142,54004950.0
143,85280250.0
144,10522511.0
145,25798915.0
146,29181829.0
147,9322895.0
148,24964890.0
149,67153225.0
150,9933873.0
151,10219306.0
152,61808775.0
153,11104555.0
154,7878856.0
155,13550772.0
156,6433688.0
157,35079650.0
158,6491240.0
159,13796834.0
160,55902624.0
161,11103434.0
162,12014663.0
163,63649529.0
164,44276335.0
165,26096852.0
166,23914731.0
167,5615390.0
168,6344112.0
169,4313829.0
170,42345360.0
171,3824868.0
172,769679473.0
173,4681651.0
174,37472507.0
175,7871522.0
176,1220376.0
177,5386242.0
178,60262836.0
179,3533711.0
180,35867322.0
181,13657649.0
182,96753696.0
183,2930687.0
184,2908893.0
185,105647102.0
186,49230772.0
187,2595644.0
188,40339402.0
189,9904795.0
190,2385237.0
191,46471023.0
192,43474578.0
193,19319671.0
194,17874044.0
195,12037973.0
196,10371451.0
197,10300416.0
198,27639579.0
199,1755212.0
200,11844500.0
201,6055859.0
202,2477315.0
203,128363881.0
204,29459596.0
205,7031729.0
206,6577779.0
207,1436391.0
208,2942554.0
209,16979882.0
210,2340550.0
211,2067671.0
212,5621971.0
213,98230905.0
214,1062941.0
215,19439764.0
216,3878993.0
217,1018169.0
218,7564310.0
219,7208231.0
220,20768906.0
221,325286646.0
222,243006126.0
223,13681934.0
224,100140096.0
225,171844840.0
226,883887.0
227,9062995.0
228,15719212.0
229,61601280.0
230,802535.0
231,50652463.0
232,814906.0
233,9460931.0
234,754301.0
235,6815056.0
236,1356461.0
237,898137.0
238,1803412.0
239,9520933.0
240,1798274.0
241,41146351.0
242,1031070.0
243,636706.0
244,1331651.0
245,39457342.0
246,5701481.0
247,127944208.0
248,1278390.0
249,17149348.0
250,1777019.0
251,544890.0
252,637479.0
253,8319469.0
254,572790.0
255,531806.0
256,5511371.0
257,529603.0
258,44723232.0
259,861630.0
260,515065.0
261,48023509.0
262,1444401.0
263,1097750.0
264,22942221.0
265,1595417.0
266,8808659.0
267,453993.0
268,649626.0
269,69095771.0
270,433588.0
271,10629321.0
272,3954699.0
273,12629471.0
274,626396.0
275,406116.0
276,4826090.0
277,2404300.0
278,365802.0
279,363031.0
280,352810.0
281,2058675.0
282,2336172.0
283,775385.0
284,5140925.0
285,14788642.0
286,320486.0
287,318623.0
288,317831.0
289,5043878.0
290,10593928.0
291,744266.0
292,454481.0
293,1689646.0
294,76085443.0
295,3627172.0
296,288328.0
297,654369.0
298,783232.0
299,18164139.0
300,391674.0
301,287711.0
302,292150.0
303,336386.0
304,256242.0
305,3843774.0
306,1194182.0
307,1392434.0
308,5060438.0
309,6148687.0
310,281350.0
311,326034.0
312,224409.0
313,405861.0
314,4050140.0
315,210625.0
316,
317,
318,200393.0
319,4087363.0
320,284214.0
321,16918946.0
322,209765.0
323,585366247.0
324,428249.0
325,189000.0
326,1355079.0
327,2648195.0
328,252207.0
329,181039.0
330,176865.0
331,20967660.0
332,7556034.0
333,39886986.0
334,1124838.0
335,2828984.0
336,1209709.0
337,192870.0
338,220619.0
339,896919.0
340,165987.0
341,167508.0
342,358014.0
343,151644.0
344,505699.0
345,150000.0
346,246574.0
347,22730842.0
348,480834.0
349,151239.0
350,14892418.0
351,140091.0
352,855185.0
353,137885.0
354,50812934.0
355,1059369.0
356,159852.0
357,31430334.0
358,42883181.0
359,44261209.0
360,128203.0
361,279170.0
362,193355800.0
363,124673.0
364,129708433.0
365,6890432.0
366,119290.0
367,116353.0
368,985181.0
369,6812530.0
370,10134366.0
371,109895.0
372,109383.0
373,2422634.0
374,3494154.0
375,3681654.0
376,118206.0
377,191019.0
378,29349172.0
379,111731.0
380,2634462.0
381,143191.0
382,291307.0
383,117678.0
384,100688.0
385,100280.0
386,99270.0
387,1278650.0
388,1647555.0
389,20529194.0
390,21924245.0
391,47709193.0
392,88335.0
393,87763.0
394,6007194.0
395,130441.0
396,2860973.0
397,101170.0
398,879937.0
399,96933.0
400,84918.0
401,77389.0
402,19722766.0
403,73544.0
404,412728.0
405,71239.0
406,71007.0
407,1018753.0
408,36348784.0
409,68339.0
410,68353.0
411,1484665.0
412,67095.0
413,66166.0
414,65082.0
415,112036.0
416,112313.0
417,62713.0
418,100293273.0
419,58198.0
420,3259068.0
421,11562239.0
422,303574.0
423,68167.0
424,54645.0
425,54543.0
426,54473.0
427,68719.0
428,54305.0
429,53345.0
430,156190.0
431,52476.0
432,52387.0
433,52296.0
434,76185.0
435,602059.0
