,IMDB ID,Mojo ID,title,Genres,Year,Domestic Gross ($),Worldwide Gross ($),Opening ($),Budget,Opening Theaters,Release Date,MPAA,In Realease (Days),Widest Release,Stars,Director(s),Writer(s),Producer(s),Running time (min),IMDB score,IMDB votes,Metascore,Meta Users,Country,Language,Distributor,Plot Outline
0,tt2527336,2708702721,Star Wars: Episode VIII - The Last Jedi,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi",2017,620181382,1332539889,220009584,317000000.0,4232,15-Dec-17,PG-13,382,4232,"Mark Hamill
Carrie Fisher
Adam Driver
Daisy Ridley
John Boyega",Rian Johnson,"Rian Johnson
 George Lucas","J.J. Abrams
 Pippa Anderson
 Ram Bergman
 Candice Campos
 Jamie Christopher
 Leifur B. Dagfinnsson
 Nour Dardari
 Boris Dmitrovic
 Kiri Hart
 Leopold Hughes
 Andres Jauernick
 Finni Johannsson
 Nikos Karamigios
 Tom Karnowski
 Kathleen Kennedy
 Jason D. McGatlin",152,7.0,568381,84.0,"6,871 user
722 critic
",USA,English,Walt Disney Studios Motion Pictures,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
1,tt2771200,222594561,Beauty and the Beast,"Family
    
        Fantasy
    
        Musical
    
        Romance",2017,504014165,1263521126,174750616,160000000.0,4210,17-Mar-17,PG,290,4210,"Emma Watson
Dan Stevens
Luke Evans
Josh Gad
Kevin Kline",Bill Condon,"Stephen Chbosky
 Evan Spiliotopoulos
 Linda Woolverton
 Jeanne-Marie Leprince de Beaumont
 Gabrielle-Suzanne Barbot de Villeneuve","Steve Gaub
 Don Hahn
 David Hoberman
 Jeremy Johns
 Todd Lieberman
 Jack Morrissey
 Thomas Schumacher
 Jeffrey Silver
 Greg Yolen
 Alexander Young",129,7.1,276285,65.0,"1,159 user
522 critic
",USA,English,Walt Disney Studios Motion Pictures,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
2,tt0451279,578455041,Wonder Woman,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi
    
        War",2017,412563408,821847012,103251471,149000000.0,4165,2-Jun-17,PG-13,217,4165,"Gal Gadot
Chris Pine
Connie Nielsen
Robin Wright
Danny Huston",Patty Jenkins,"Allan Heinberg
 Zack Snyder
 Allan Heinberg
 Jason Fuchs
 William Moulton Marston
 Harry G. Peter","Jon Berg
 Wesley Coller
 Tommy Gormley
 Geoff Johns
 Stephen Jones
 Curt Kanemoto
 Steven Mnuchin
 Rebecca Steel Roven Oakley
 Charles Roven
 Enzo Sisti
 Deborah Snyder
 Zack Snyder
 Richard Suckle",141,7.4,572936,76.0,"2,370 user
717 critic
","USA
UK",English,Warner Bros.,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
3,tt3896198,2976089601,Guardians of the Galaxy Vol. 2,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi",2017,389813101,863756051,146510104,200000000.0,4347,5-May-17,PG-13,241,4347,"Chris Pratt
Zoe Saldana
Dave Bautista
Vin Diesel
Bradley Cooper",James Gunn,"James Gunn
 Dan Abnett
 Andy Lanning
 Steve Englehart
 Steve Gan
 Jim Starlin
 Stan Lee
 Larry Lieber
 Jack Kirby
 Bill Mantlo
 Keith Giffen
 Steve Gerber
 Val Mayerik","Victoria Alonso
 Louis D'Esposito
 Kevin Feige
 David J. Grant
 Simon Hatt
 Nikolas Korda
 Stan Lee
 Jonathan Schwartz
 Lars P. Winther",136,7.6,574449,67.0,"1,078 user
587 critic
",USA,English,Walt Disney Studios Motion Pictures,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
4,tt2250912,863208961,Spider-Man: Homecoming,"Action
    
        Adventure
    
        Sci-Fi",2017,334201140,880166924,117027503,175000000.0,4348,7-Jul-17,PG-13,182,4348,"Tom Holland
Michael Keaton
Robert Downey Jr.
Marisa Tomei
Jon Favreau",Jon Watts,"Jonathan Goldstein
 John Francis Daley
 Jon Watts
 Christopher Ford
 Chris McKenna
 Erik Sommers
 Jonathan Goldstein
 John Francis Daley
 Stan Lee
 Steve Ditko
 Joe Simon
 Jack Kirby","Victoria Alonso
 Avi Arad
 Mitchell Bell
 Eric Hauserman Carroll
 Louis D'Esposito
 Kevin Feige
 Jeremy Latcham
 Stan Lee
 Rachel O'Connor
 Amy Pascal
 Matt Tolmach
 Patricia Whitcher",133,7.4,517860,73.0,"1,414 user
577 critic
",USA,English,Sony Pictures Entertainment (SPE),"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
5,tt1396484,3481241089,It,Horror,2017,327481748,700381748,123403419,35000000.0,4103,8-Sep-17,R,119,4148,"Jaeden Martell
Jeremy Ray Taylor
Sophia Lillis
Finn Wolfhard
Chosen Jacobs",Andy Muschietti,"Chase Palmer
 Cary Joji Fukunaga
 Gary Dauberman
 Stephen King","Richard Brener
 Doug Davison
 Toby Emmerich
 Marty P. Ewing
 Seth Grahame-Smith
 Walter Hamada
 David Katzenberg
 Niija Kuykendall
 Roy Lee
 Dan Lin
 Barbara Muschietti
 Dave Neustadter
 Jon Silk",135,7.3,462276,69.0,"1,992 user
629 critic
","USA
Canada",English,Warner Bros.,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town."
6,tt3501632,2959312385,Thor: Ragnarok,"Action
    
        Adventure
    
        Comedy
    
        Fantasy
    
        Sci-Fi",2017,315058289,853977126,122744989,180000000.0,4080,3-Nov-17,PG-13,424,4080,"Chris Hemsworth
Tom Hiddleston
Cate Blanchett
Idris Elba
Jeff Goldblum",Taika Waititi,"Eric Pearson
 Craig Kyle
 Christopher L. Yost
 Stan Lee
 Larry Lieber
 Jack Kirby
 Greg Pak
 Walter Simonson
 Carlo Pagulayan","Victoria Alonso
 Brian Chapek
 Louis D'Esposito
 Kevin Feige
 David J. Grant
 Thomas M. Hammel
 Stan Lee
 Brad Winderbaum",130,7.9,594214,74.0,"1,652 user
524 critic
","USA
Australia",English,Walt Disney Studios Motion Pictures,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
7,tt3469046,122652161,Despicable Me 3,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi",2017,264624300,1034799409,72434025,80000000.0,4529,30-Jun-17,PG,189,4535,"Steve Carell
Kristen Wiig
Trey Parker
Miranda Cosgrove
Dana Gaier","Kyle Balda
 Pierre Coffin
 Eric Guillon","Cinco Paul
 Ken Daurio","Janet Healy
 Brett Hoffman
 Christopher Meledandri
 Chris Renaud
 Robert Taylor",89,6.3,114682,49.0,"227 user
263 critic
","USA
France
Japan",English,Universal Pictures,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
8,tt3315342,3229320705,Logan,"Action
    
        Drama
    
        Sci-Fi
    
        Thriller",2017,226277068,619021436,88411916,97000000.0,4071,3-Mar-17,R,304,4071,"Hugh Jackman
Patrick Stewart
Dafne Keen
Boyd Holbrook
Stephen Merchant",James Mangold,"James Mangold
 Scott Frank
 James Mangold
 Michael Green
 John Romita Sr.
 Roy Thomas
 Len Wein
 Herb Trimpe
 Mark Millar
 Steven McNiven","Joseph M. Caracciolo Jr.
 Simon Kinberg
 Stan Lee
 James Mangold
 Josh McLaglen
 Hutch Parker
 Dana Robin
 Lauren Shuler Donner
 Kurt Williams",137,8.1,652574,77.0,"1,619 user
647 critic
",USA,English,Twentieth Century Fox,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
9,tt4630562,1767212545,The Fate of the Furious,"Action
    
        Adventure
    
        Crime
    
        Thriller",2017,226008385,1236005118,98786705,250000000.0,4310,14-Apr-17,PG-13,262,4329,"Vin Diesel
Jason Statham
Dwayne Johnson
Michelle Rodriguez
Tyrese Gibson",F. Gary Gray,"Gary Scott Thompson
 Chris Morgan","Ricardo Del Río
 Vin Diesel
 Michael Fottrell
 Finni Johannsson
 Cliff Lanning
 Amanda Lewis
 Sharon Lopez
 Chris Morgan
 Neal H. Moritz
 Samantha Vincent",136,6.7,206044,56.0,"616 user
431 critic
","China
USA
Japan",English,Universal Pictures,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
