,Domestic Gross ($)
0,20.435271901203663
1,19.84380083716198
2,19.627223572933936
3,19.559901663580344
4,19.521063966923577
5,19.49423568643956
6,19.505813608670653
7,19.343009152319922
8,19.29087219338529
9,19.198082814630332
10,18.989350381814063
11,18.910578221823684
12,18.903114214157515
13,19.117929182843152
14,18.8155287091376
15,18.696585133484714
16,18.667641863654
17,18.59648089922324
18,18.588830419006374
19,18.96336986938028
20,18.579645747730734
21,18.520396242439393
22,19.157982020610962
23,18.472036471390933
24,18.450904606545638
25,18.42605669758384
26,19.20738480454813
27,18.407711039775847
28,18.373040684159275
29,18.367649719533546
30,18.38983686455276
31,18.3393216752557
32,18.32372564801498
33,18.319535354377756
34,18.301540196043028
35,18.255250604521528
36,18.815681962692093
37,18.204686698900876
38,18.46361522559966
39,18.19772270043052
40,18.216885574623692
41,18.16219623050812
42,18.15179471392878
43,18.106330714868832
44,18.5405538161821
45,18.95859418755703
46,18.021116610794135
47,17.974450280344925
48,17.961039099432575
49,17.95983522688694
50,17.957857418515452
51,17.942317147354757
52,17.92596589194309
53,17.911995594402754
54,17.911451378820736
55,17.910225984740947
56,19.360529689131695
57,17.90507630314087
58,17.882851515977396
59,17.871542474614902
60,18.423137832835597
61,17.83504739300479
62,17.78641460487925
63,17.792847052914407
64,17.77584010587383
65,17.766767507227406
66,17.733268208836378
67,18.244222536082926
68,18.029579337197188
69,17.688195945806083
70,17.666933155032837
71,17.63783154441542
72,17.619402123378226
73,17.60229300944226
74,17.590240888864557
75,17.58398392675154
76,17.570630529310858
77,17.562664179622317
78,17.529920078784023
79,18.48791573260157
80,17.508583208329828
81,17.48223614227651
82,18.354722645024196
83,17.49090717576794
84,17.4459580876678
85,17.439584975428534
86,17.490307695065876
87,17.41723782517533
88,17.38803528090916
89,17.37239058824717
90,17.331368713499845
91,17.330072040972944
92,17.304320111102903
93,17.30229319741353
94,17.28158577818933
95,17.26626844192987
96,17.25472745085623
97,17.292650097679903
98,17.249876142467574
99,17.22008812037327
100,17.183193037330174
101,18.463748844486847
102,17.139806232729992
103,17.11738814203775
104,17.096182873036973
105,17.080009709289037
106,17.0704837619136
107,17.062081429943433
108,17.038667884110982
109,17.034512574869925
110,17.02311829571978
111,17.006278470740593
112,16.996785320536326
113,16.976394153229467
114,16.961386350532813
115,17.223770275851937
116,16.885439081918204
117,16.878603304701123
118,17.571563987042026
119,16.86708667891646
120,16.85100978968334
121,16.823926107640446
122,17.776759899091886
123,16.781933426674605
124,16.763534681760053
125,16.694950502955745
126,18.724136330360533
127,16.685138929522537
128,16.64932195844321
129,16.55902757618591
130,16.542139500464867
131,16.506376281423435
132,16.43980480470661
133,16.40040212574001
134,16.311599040721408
135,19.507974667568426
136,16.30609381528537
137,17.439621171085726
138,16.18962399874025
139,16.17136311039908
140,16.724334903723037
141,16.127567649607094
142,16.79495922021597
143,17.202611956419073
144,16.03220361091365
145,16.071076472667237
146,16.213521460440912
147,15.958583959888884
148,16.032101937791342
149,15.848677899032324
150,15.826263110551656
151,15.806165010647046
152,15.855380234844306
153,15.729949057880944
154,15.713285728169371
155,15.705283670555799
156,15.674482314379523
157,15.670469527241167
158,15.666109212928685
159,15.692147643221212
160,17.406306455016008
161,15.550053964631902
162,15.426040873508768
163,17.67763979447523
164,15.462282019361556
165,16.347214434960488
166,15.387821723366999
167,15.288108295500528
168,15.25869788102821
169,15.210163389540199
170,15.206486692459857
171,15.144496199831277
172,18.928173822954378
173,15.089104476391437
174,15.42780538552723
175,15.277082831590699
176,12.816077318998726
177,15.006777989792656
178,15.692357526938595
179,14.990263489605553
180,14.993625716311914
181,14.938898382613784
182,17.71732281063241
183,14.890747424498985
184,14.862330480360754
185,17.55779001080502
186,16.649771059442084
187,14.769345213349995
188,17.34590774780303
189,14.705314388474301
190,14.684809048436783
191,16.860171986028092
192,17.166962814627016
193,14.614306112746794
194,14.55158311937565
195,13.236390033358854
196,14.41362207103794
197,14.408880496236144
198,15.909471185743312
199,14.378100205307444
200,14.312330153644288
201,14.298693211110775
202,14.287771637251225
203,18.3522300790163
204,14.23063420518362
205,14.204674182613068
206,14.19206028345875
207,14.10136145483697
208,14.069027337067045
209,14.048270919173186
210,13.98412020134915
211,13.939666134670315
212,13.92032902674123
213,17.653084914753514
214,13.876550152491152
215,13.858707011224828
216,13.85191095159888
217,13.833516474101993
218,13.83269702098702
219,13.85860740304883
220,14.527214001195304
221,18.741719226267026
222,18.642785956379285
223,13.889172645011719
224,18.16234343141923
225,18.50873690413258
226,13.69208450539478
227,13.658572496997115
228,13.65062766002299
229,17.45632526348127
230,13.595530746742423
231,16.982927432619494
232,13.610828048147814
233,13.538374018735537
234,13.533546771573311
235,13.475019657318608
236,13.471224271016892
237,13.708077896895269
238,13.425094148057628
239,13.422910834738499
240,13.419197442319991
241,13.396938933485359
242,13.366319242188466
243,13.364063289551103
244,13.341343071886117
245,13.336543678540911
246,13.336122229865426
247,18.110858401244897
248,13.333165485433176
249,13.220413436672185
250,13.21853137099936
251,13.208339218411599
252,13.20300652016525
253,13.202844142962652
254,13.220754261507837
255,13.184034040164416
256,13.183806487697076
257,13.17988294824146
